📺央视频道,#genre#
CCTV1,http://14.155.143.86:8088/hls/1/index.m3u8
CCTV2,http://14.155.143.86:8088/hls/3/index.m3u8
CCTV3,http://14.155.143.86:8088/hls/4/index.m3u8
CCTV4,http://14.155.143.86:8088/hls/5/index.m3u8
CCTV5,http://14.155.143.86:8088/hls/6/index.m3u8
CCTV5+,http://14.155.143.86:8088/hls/7/index.m3u8
CCTV6,http://14.155.143.86:8088/hls/8/index.m3u8
CCTV7,http://14.155.143.86:8088/hls/9/index.m3u8
CCTV8,http://14.155.143.86:8088/hls/10/index.m3u8
CCTV9,http://14.155.143.86:8088/hls/11/index.m3u8
CCTV10,http://14.155.143.86:8088/hls/12/index.m3u8
CCTV11,http://14.155.143.86:8088/hls/13/index.m3u8
CCTV12,http://14.155.143.86:8088/hls/14/index.m3u8
CCTV13,http://14.155.143.86:8088/hls/15/index.m3u8
CCTV14,http://14.155.143.86:8088/hls/16/index.m3u8
CCTV15,http://14.155.143.86:8088/hls/17/index.m3u8
CCTV17,http://14.155.143.86:8088/hls/19/index.m3u8
CCTV1,http://125.40.199.223:8092/hls/1/index.m3u8
CCTV2,http://125.40.199.223:8092/hls/2/index.m3u8
CCTV3,http://125.40.199.223:8092/hls/3/index.m3u8
CCTV4,http://125.40.199.223:8092/hls/4/index.m3u8
CCTV5,http://125.40.199.223:8092/hls/5/index.m3u8
CCTV6,http://125.40.199.223:8092/hls/6/index.m3u8
CCTV7,http://125.40.199.223:8092/hls/7/index.m3u8
CCTV8,http://125.40.199.223:8092/hls/8/index.m3u8
CCTV9,http://125.40.199.223:8092/hls/9/index.m3u8
CCTV10,http://125.40.199.223:8092/hls/10/index.m3u8
CCTV11,http://125.40.199.223:8092/hls/11/index.m3u8
CCTV12,http://125.40.199.223:8092/hls/12/index.m3u8
CCTV13,http://125.40.199.223:8092/hls/13/index.m3u8
CCTV14,http://125.40.199.223:8092/hls/14/index.m3u8
CCTV15,http://125.40.199.223:8092/hls/15/index.m3u8
CCTV17,http://125.40.199.223:8092/hls/16/index.m3u8
