📺其他频道,#genre#
浙江卫视,http://171.11.198.125:5000/hls/25/index.m3u8
东方卫视,http://171.11.198.125:5000/hls/26/index.m3u8
天津卫视,http://171.11.198.125:5000/hls/27/index.m3u8
云南卫视,http://171.11.198.125:5000/hls/28/index.m3u8
河北卫视,http://171.11.198.125:5000/hls/29/index.m3u8
湖北卫视,http://171.11.198.125:5000/hls/30/index.m3u8
吉林卫视,http://171.11.198.125:5000/hls/31/index.m3u8
安徽卫视,http://171.11.198.125:5000/hls/32/index.m3u8
山东卫视,http://171.11.198.125:5000/hls/33/index.m3u8
江西卫视,http://171.11.198.125:5000/hls/34/index.m3u8
山西卫视,http://171.11.198.125:5000/hls/35/index.m3u8
陕西卫视,http://171.11.198.125:5000/hls/36/index.m3u8
河南卫视,http://36.33.249.250:801/hls/3/index.m3u8
三沙卫视,http://36.33.249.250:801/hls/5/index.m3u8
河南卫视,http://221.14.142.118:8000/hls/17/index.m3u8
湖南卫视,http://221.14.142.118:8000/hls/22/index.m3u8
江苏卫视,http://221.14.142.118:8000/hls/23/index.m3u8
浙江卫视,http://221.14.142.118:8000/hls/24/index.m3u8
北京卫视,http://221.14.142.118:8000/hls/25/index.m3u8
东方卫视,http://221.14.142.118:8000/hls/26/index.m3u8
天津卫视,http://221.14.142.118:8000/hls/27/index.m3u8
山东卫视,http://221.14.142.118:8000/hls/28/index.m3u8
安徽卫视,http://221.14.142.118:8000/hls/29/index.m3u8
深圳卫视,http://221.14.142.118:8000/hls/30/index.m3u8
广西卫视,http://221.14.142.118:8000/hls/31/index.m3u8
湖北卫视,http://221.14.142.118:8000/hls/32/index.m3u8
辽宁卫视,http://221.14.142.118:8000/hls/37/index.m3u8
北京卫视,http://116.3.56.45:81/hls/21/index.m3u8
天津卫视,http://116.3.56.45:81/hls/22/index.m3u8
东方卫视,http://116.3.56.45:81/hls/23/index.m3u8
重庆卫视,http://116.3.56.45:81/hls/24/index.m3u8
辽宁卫视,http://116.3.56.45:81/hls/19/index.m3u8
浙江卫视,http://116.3.56.45:81/hls/25/index.m3u8
江苏卫视,http://116.3.56.45:81/hls/28/index.m3u8
安徽卫视,http://116.3.56.45:81/hls/29/index.m3u8
湖南卫视,http://116.3.56.45:81/hls/30/index.m3u8
贵州卫视,http://116.3.56.45:81/hls/31/index.m3u8
山东卫视,http://116.3.56.45:81/hls/32/index.m3u8
山西卫视,http://116.3.56.45:81/hls/33/index.m3u8
广东卫视,http://116.3.56.45:81/hls/34/index.m3u8
广西卫视,http://116.3.56.45:81/hls/35/index.m3u8
湖北卫视,http://116.3.56.45:81/hls/36/index.m3u8
江西卫视,http://116.3.56.45:81/hls/37/index.m3u8
河北卫视,http://116.3.56.45:81/hls/38/index.m3u8
河南卫视,http://116.3.56.45:81/hls/39/index.m3u8
四川卫视,http://116.3.56.45:81/hls/40/index.m3u8
海南卫视,http://116.3.56.45:81/hls/41/index.m3u8
青海卫视,http://116.3.56.45:81/hls/42/index.m3u8
云南卫视,http://116.3.56.45:81/hls/43/index.m3u8
陕西卫视,http://116.3.56.45:81/hls/44/index.m3u8
内蒙古卫视,http://116.3.56.45:81/hls/45/index.m3u8
宁夏卫视,http://116.3.56.45:81/hls/46/index.m3u8
吉林卫视,http://116.3.56.45:81/hls/47/index.m3u8
新疆卫视,http://116.3.56.45:81/hls/48/index.m3u8
甘肃卫视,http://116.3.56.45:81/hls/49/index.m3u8
西藏卫视,http://116.3.56.45:81/hls/50/index.m3u8
黑龙江卫视,http://116.3.56.45:81/hls/51/index.m3u8
深圳卫视,http://116.3.56.45:81/hls/52/index.m3u8
厦门卫视,http://116.3.56.45:81/hls/53/index.m3u8
兵团卫视,http://116.3.56.45:81/hls/56/index.m3u8
农林卫视,http://116.3.56.45:81/hls/57/index.m3u8
延边卫视,http://116.3.56.45:81/hls/58/index.m3u8
西藏卫视,http://116.3.56.45:81/hls/59/index.m3u8
山东卫视,http://39.88.195.180:9003/hls/15/index.m3u8
湖南卫视,http://39.88.195.180:9003/hls/16/index.m3u8
浙江卫视,http://39.88.195.180:9003/hls/17/index.m3u8
东方卫视,http://39.88.195.180:9003/hls/18/index.m3u8
江苏卫视,http://39.88.195.180:9003/hls/19/index.m3u8
北京卫视,http://39.88.195.180:9003/hls/20/index.m3u8
安徽卫视,http://39.88.195.180:9003/hls/21/index.m3u8
