📺央视频道,#genre#
CCTV11,http://27.41.245.32:801/hls/11/index.m3u8
CCTV12,http://27.41.245.32:801/hls/12/index.m3u8
CCTV13,http://27.41.245.32:801/hls/13/index.m3u8
CCTV14,http://27.41.245.32:801/hls/14/index.m3u8
CCTV15,http://27.41.245.32:801/hls/15/index.m3u8
CCTV17,http://27.41.245.32:801/hls/16/index.m3u8
CCTV1,http://122.114.131.154:4018/hls/1/index.m3u8
CCTV2,http://122.114.131.154:4018/hls/2/index.m3u8
CCTV3,http://122.114.131.154:4018/hls/3/index.m3u8
CCTV4,http://122.114.131.154:4018/hls/4/index.m3u8
CCTV5,http://122.114.131.154:4018/hls/5/index.m3u8
CCTV6,http://122.114.131.154:4018/hls/6/index.m3u8
CCTV7,http://122.114.131.154:4018/hls/7/index.m3u8
CCTV8,http://122.114.131.154:4018/hls/8/index.m3u8
CCTV9,http://122.114.131.154:4018/hls/9/index.m3u8
CCTV10,http://122.114.131.154:4018/hls/10/index.m3u8
CCTV11,http://122.114.131.154:4018/hls/11/index.m3u8
CCTV12,http://122.114.131.154:4018/hls/12/index.m3u8
CCTV13,http://122.114.131.154:4018/hls/13/index.m3u8
CCTV14,http://122.114.131.154:4018/hls/14/index.m3u8
CCTV15,http://122.114.131.154:4018/hls/15/index.m3u8
CCTV5+,http://122.114.131.154:4018/hls/16/index.m3u8
CCTV1,http://119.39.198.199:808/hls/1/index.m3u8
CCTV2,http://119.39.198.199:808/hls/2/index.m3u8
CCTV3,http://119.39.198.199:808/hls/3/index.m3u8
CCTV4,http://119.39.198.199:808/hls/4/index.m3u8
CCTV5,http://119.39.198.199:808/hls/5/index.m3u8
CCTV6,http://119.39.198.199:808/hls/6/index.m3u8
CCTV7,http://119.39.198.199:808/hls/7/index.m3u8
CCTV8,http://119.39.198.199:808/hls/8/index.m3u8
CCTV9,http://119.39.198.199:808/hls/9/index.m3u8
CCTV10,http://119.39.198.199:808/hls/10/index.m3u8
CCTV11,http://119.39.198.199:808/hls/11/index.m3u8
CCTV12,http://119.39.198.199:808/hls/12/index.m3u8
CCTV13,http://119.39.198.199:808/hls/13/index.m3u8
CCTV14,http://119.39.198.199:808/hls/14/index.m3u8
CCTV15,http://119.39.198.199:808/hls/15/index.m3u8
CCTV1,http://119.39.198.183:808/hls/1/index.m3u8
CCTV2,http://119.39.198.183:808/hls/2/index.m3u8
CCTV3,http://119.39.198.183:808/hls/3/index.m3u8
CCTV4,http://119.39.198.183:808/hls/4/index.m3u8
CCTV5,http://119.39.198.183:808/hls/5/index.m3u8
CCTV6,http://119.39.198.183:808/hls/6/index.m3u8
CCTV7,http://119.39.198.183:808/hls/7/index.m3u8
CCTV8,http://119.39.198.183:808/hls/8/index.m3u8
CCTV9,http://119.39.198.183:808/hls/9/index.m3u8
CCTV10,http://119.39.198.183:808/hls/10/index.m3u8
CCTV11,http://119.39.198.183:808/hls/11/index.m3u8
CCTV12,http://119.39.198.183:808/hls/12/index.m3u8
CCTV13,http://119.39.198.183:808/hls/13/index.m3u8
CCTV14,http://119.39.198.183:808/hls/14/index.m3u8
CCTV15,http://119.39.198.183:808/hls/15/index.m3u8
📺卫视频道,#genre#
河南卫视,http://125.46.132.19:8082/hls/18/index.m3u8
北京卫视,http://125.46.132.19:8082/hls/27/index.m3u8
浙江卫视,http://125.46.132.19:8082/hls/28/index.m3u8
湖南卫视,http://125.46.132.19:8082/hls/29/index.m3u8
山东卫视,http://125.46.132.19:8082/hls/30/index.m3u8
安徽卫视,http://125.46.132.19:8082/hls/31/index.m3u8
四川卫视,http://125.46.132.19:8082/hls/32/index.m3u8
天津卫视,http://125.46.132.19:8082/hls/34/index.m3u8
山西卫视,http://125.46.132.19:8082/hls/35/index.m3u8
河北卫视,http://125.46.132.19:8082/hls/36/index.m3u8
江苏卫视,http://125.46.132.19:8082/hls/37/index.m3u8
广东卫视,http://125.46.132.19:8082/hls/38/index.m3u8
东方卫视,http://125.46.132.19:8082/hls/39/index.m3u8
湖北卫视,http://125.46.132.19:8082/hls/40/index.m3u8
深圳卫视,http://125.46.132.19:8082/hls/33/index.m3u8
辽宁卫视,http://125.46.132.19:8082/hls/42/index.m3u8
吉林卫视,http://125.46.132.19:8082/hls/43/index.m3u8
云南卫视,http://125.46.132.19:8082/hls/45/index.m3u8
江西卫视,http://125.46.132.19:8082/hls/46/index.m3u8
陕西卫视,http://125.46.132.19:8082/hls/48/index.m3u8
河南卫视,http://123.14.91.174:8888/hls/19/index.m3u8
湖南卫视,http://123.14.91.174:8888/hls/20/index.m3u8
江苏卫视,http://123.14.91.174:8888/hls/21/index.m3u8
浙江卫视,http://123.14.91.174:8888/hls/22/index.m3u8
北京卫视,http://123.14.91.174:8888/hls/23/index.m3u8
东方卫视,http://123.14.91.174:8888/hls/24/index.m3u8
天津卫视,http://123.14.91.174:8888/hls/25/index.m3u8
山东卫视,http://123.14.91.174:8888/hls/26/index.m3u8
安徽卫视,http://123.14.91.174:8888/hls/27/index.m3u8
深圳卫视,http://123.14.91.174:8888/hls/28/index.m3u8
江西卫视,http://123.14.91.174:8888/hls/29/index.m3u8
湖北卫视,http://123.14.91.174:8888/hls/30/index.m3u8
四川卫视,http://123.14.91.174:8888/hls/31/index.m3u8
黑龙江卫视,http://123.14.91.174:8888/hls/32/index.m3u8
云南卫视,http://123.14.91.174:8888/hls/33/index.m3u8
贵州卫视,http://123.14.91.174:8888/hls/34/index.m3u8
辽宁卫视,http://123.14.91.174:8888/hls/35/index.m3u8
东南卫视,http://123.14.91.174:8888/hls/36/index.m3u8
重庆卫视,http://123.14.91.174:8888/hls/37/index.m3u8
广东卫视,http://123.14.91.174:8888/hls/38/index.m3u8
广西卫视,http://123.14.91.174:8888/hls/39/index.m3u8
河北卫视,http://123.14.91.174:8888/hls/40/index.m3u8
安徽卫视,http://125.44.164.109:8888/hls/13/index.m3u8
山东卫视,http://125.44.164.109:8888/hls/14/index.m3u8
湖北卫视,http://125.44.164.109:8888/hls/15/index.m3u8
深圳卫视,http://125.44.164.109:8888/hls/16/index.m3u8
黑龙江卫视,http://125.44.164.109:8888/hls/17/index.m3u8
北京卫视,http://125.44.164.109:8888/hls/18/index.m3u8
湖南卫视,http://125.44.164.109:8888/hls/19/index.m3u8
江苏卫视,http://125.44.164.109:8888/hls/20/index.m3u8
河南卫视,http://125.44.164.109:8888/hls/9/index.m3u8
浙江卫视,http://125.44.164.109:8888/hls/10/index.m3u8
东方卫视,http://125.44.164.109:8888/hls/11/index.m3u8
天津卫视,http://125.44.164.109:8888/hls/12/index.m3u8
湖南卫视,http://27.41.245.32:801/hls/27/index.m3u8
北京卫视,http://27.41.245.32:801/hls/28/index.m3u8
安徽卫视,http://27.41.245.32:801/hls/29/index.m3u8
东南卫视,http://27.41.245.32:801/hls/32/index.m3u8
甘肃卫视,http://27.41.245.32:801/hls/33/index.m3u8
广西卫视,http://27.41.245.32:801/hls/34/index.m3u8
贵州卫视,http://27.41.245.32:801/hls/35/index.m3u8
海南卫视,http://27.41.245.32:801/hls/36/index.m3u8
河北卫视,http://27.41.245.32:801/hls/37/index.m3u8
河南卫视,http://27.41.245.32:801/hls/38/index.m3u8
黑龙江卫视,http://27.41.245.32:801/hls/39/index.m3u8
吉林卫视,http://27.41.245.32:801/hls/40/index.m3u8
江苏卫视,http://27.41.245.32:801/hls/42/index.m3u8
江西卫视,http://27.41.245.32:801/hls/43/index.m3u8
内蒙古卫视,http://27.41.245.32:801/hls/47/index.m3u8
宁夏卫视,http://27.41.245.32:801/hls/48/index.m3u8
青海卫视,http://27.41.245.32:801/hls/49/index.m3u8
山东卫视,http://27.41.245.32:801/hls/51/index.m3u8
山西卫视,http://27.41.245.32:801/hls/52/index.m3u8
陕西卫视,http://27.41.245.32:801/hls/53/index.m3u8
天津卫视,http://27.41.245.32:801/hls/55/index.m3u8
四川卫视,http://27.41.245.32:801/hls/54/index.m3u8
西藏卫视,http://27.41.245.32:801/hls/56/index.m3u8
新疆卫视,http://27.41.245.32:801/hls/57/index.m3u8
浙江卫视,http://27.41.245.32:801/hls/58/index.m3u8
重庆卫视,http://27.41.245.32:801/hls/59/index.m3u8
河北卫视,http://122.114.131.154:4018/hls/17/index.m3u8
湖南卫视,http://122.114.131.154:4018/hls/19/index.m3u8
浙江卫视,http://122.114.131.154:4018/hls/20/index.m3u8
江苏卫视,http://122.114.131.154:4018/hls/21/index.m3u8
北京卫视,http://122.114.131.154:4018/hls/22/index.m3u8
东方卫视,http://122.114.131.154:4018/hls/23/index.m3u8
天津卫视,http://122.114.131.154:4018/hls/24/index.m3u8
深圳卫视,http://122.114.131.154:4018/hls/25/index.m3u8
山东卫视,http://122.114.131.154:4018/hls/26/index.m3u8
广东卫视,http://122.114.131.154:4018/hls/27/index.m3u8
重庆卫视,http://122.114.131.154:4018/hls/28/index.m3u8
黑龙江卫视,http://122.114.131.154:4018/hls/29/index.m3u8
辽宁卫视,http://122.114.131.154:4018/hls/30/index.m3u8
安徽卫视,http://122.114.131.154:4018/hls/31/index.m3u8
湖南卫视,http://119.39.198.199:808/hls/27/index.m3u8
北京卫视,http://119.39.198.199:808/hls/28/index.m3u8
深圳卫视,http://119.39.198.199:808/hls/29/index.m3u8
浙江卫视,http://119.39.198.199:808/hls/30/index.m3u8
广东卫视,http://119.39.198.199:808/hls/31/index.m3u8
广西卫视,http://119.39.198.199:808/hls/32/index.m3u8
江苏卫视,http://119.39.198.199:808/hls/33/index.m3u8
东方卫视,http://119.39.198.199:808/hls/34/index.m3u8
湖北卫视,http://119.39.198.199:808/hls/35/index.m3u8
安徽卫视,http://119.39.198.199:808/hls/36/index.m3u8
辽宁卫视,http://119.39.198.199:808/hls/37/index.m3u8
黑龙江卫视,http://119.39.198.199:808/hls/38/index.m3u8
天津卫视,http://119.39.198.199:808/hls/39/index.m3u8
重庆卫视,http://119.39.198.199:808/hls/40/index.m3u8
四川卫视,http://119.39.198.199:808/hls/41/index.m3u8
东南卫视,http://119.39.198.199:808/hls/42/index.m3u8
湖南卫视,http://119.39.198.183:808/hls/27/index.m3u8
北京卫视,http://119.39.198.183:808/hls/28/index.m3u8
深圳卫视,http://119.39.198.183:808/hls/29/index.m3u8
浙江卫视,http://119.39.198.183:808/hls/30/index.m3u8
广东卫视,http://119.39.198.183:808/hls/31/index.m3u8
广西卫视,http://119.39.198.183:808/hls/32/index.m3u8
江苏卫视,http://119.39.198.183:808/hls/33/index.m3u8
东方卫视,http://119.39.198.183:808/hls/34/index.m3u8
湖北卫视,http://119.39.198.183:808/hls/35/index.m3u8
安徽卫视,http://119.39.198.183:808/hls/36/index.m3u8
辽宁卫视,http://119.39.198.183:808/hls/37/index.m3u8
黑龙江卫视,http://119.39.198.183:808/hls/38/index.m3u8
天津卫视,http://119.39.198.183:808/hls/39/index.m3u8
重庆卫视,http://119.39.198.183:808/hls/40/index.m3u8
四川卫视,http://119.39.198.183:808/hls/41/index.m3u8
东南卫视,http://119.39.198.183:808/hls/42/index.m3u8
📺地方频道,#genre#
河南都市频道,http://125.46.132.19:8082/hls/19/index.m3u8
河南法制频道,http://125.46.132.19:8082/hls/21/index.m3u8
河南都市,http://125.44.164.109:8888/hls/24/index.m3u8
河南民生,http://125.44.164.109:8888/hls/25/index.m3u8
河南法治,http://125.44.164.109:8888/hls/26/index.m3u8
河南电视剧,http://125.44.164.109:8888/hls/27/index.m3u8
河南新闻,http://125.44.164.109:8888/hls/28/index.m3u8
河南公共,http://125.44.164.109:8888/hls/29/index.m3u8
河南国际,http://125.44.164.109:8888/hls/30/index.m3u8
广东珠江,http://27.41.245.32:801/hls/25/index.m3u8
广东体育,http://27.41.245.32:801/hls/204/index.m3u8
湖南娱乐,http://119.39.198.199:808/hls/18/index.m3u8
湖南教育,http://119.39.198.199:808/hls/21/index.m3u8
湖南经视,http://119.39.198.199:808/hls/22/index.m3u8
湖南都市,http://119.39.198.199:808/hls/23/index.m3u8
湖南电影,http://119.39.198.199:808/hls/25/index.m3u8
湖南娱乐,http://119.39.198.183:808/hls/18/index.m3u8
湖南教育,http://119.39.198.183:808/hls/21/index.m3u8
湖南经视,http://119.39.198.183:808/hls/22/index.m3u8
湖南都市,http://119.39.198.183:808/hls/23/index.m3u8
湖南电影,http://119.39.198.183:808/hls/25/index.m3u8
📺其他频道,#genre#
CGTN,http://123.14.91.174:8888/hls/16/index.m3u8
1,http://119.166.230.169:8082/hls/1/index.m3u8
2,http://119.166.230.169:8082/hls/2/index.m3u8
3,http://119.166.230.169:8082/hls/3/index.m3u8
4,http://119.166.230.169:8082/hls/4/index.m3u8
5,http://119.166.230.169:8082/hls/5/index.m3u8
6,http://119.166.230.169:8082/hls/6/index.m3u8
7,http://119.166.230.169:8082/hls/7/index.m3u8
8,http://119.166.230.169:8082/hls/8/index.m3u8
9,http://119.166.230.169:8082/hls/9/index.m3u8
10,http://119.166.230.169:8082/hls/10/index.m3u8
11,http://119.166.230.169:8082/hls/11/index.m3u8
12,http://119.166.230.169:8082/hls/12/index.m3u8
13,http://119.166.230.169:8082/hls/13/index.m3u8
14,http://119.166.230.169:8082/hls/14/index.m3u8
15,http://119.166.230.169:8082/hls/15/index.m3u8
16,http://119.166.230.169:8082/hls/16/index.m3u8
17,http://119.166.230.169:8082/hls/17/index.m3u8
18,http://119.166.230.169:8082/hls/18/index.m3u8
19,http://119.166.230.169:8082/hls/19/index.m3u8
20,http://119.166.230.169:8082/hls/20/index.m3u8
21,http://119.166.230.169:8082/hls/21/index.m3u8
22,http://119.166.230.169:8082/hls/22/index.m3u8
23,http://119.166.230.169:8082/hls/23/index.m3u8
24,http://119.166.230.169:8082/hls/24/index.m3u8
Q亳州农村,http://120.209.208.163:5080/hls/3/index.m3u8
Q 亳州新闻,http://120.209.208.163:5080/hls/2/index.m3u8
凤凰中文,http://27.41.245.32:801/hls/205/index.m3u8
1,http://39.89.40.66:8083/hls/1/index.m3u8
2,http://39.89.40.66:8083/hls/2/index.m3u8
3,http://39.89.40.66:8083/hls/3/index.m3u8
4,http://39.89.40.66:8083/hls/4/index.m3u8
5,http://39.89.40.66:8083/hls/5/index.m3u8
6,http://39.89.40.66:8083/hls/6/index.m3u8
7,http://39.89.40.66:8083/hls/7/index.m3u8
8,http://39.89.40.66:8083/hls/8/index.m3u8
9,http://39.89.40.66:8083/hls/9/index.m3u8
10,http://39.89.40.66:8083/hls/10/index.m3u8
11,http://39.89.40.66:8083/hls/11/index.m3u8
12,http://39.89.40.66:8083/hls/12/index.m3u8
13,http://39.89.40.66:8083/hls/13/index.m3u8
14,http://39.89.40.66:8083/hls/14/index.m3u8
15,http://39.89.40.66:8083/hls/15/index.m3u8
16,http://39.89.40.66:8083/hls/16/index.m3u8
10,http://39.89.40.66:8083/hls/10/index.m3u8
电视剧台,http://119.39.198.199:808/hls/24/index.m3u8
电视剧台,http://119.39.198.183:808/hls/24/index.m3u8
📺CIBN系列,#genre#
汕头新闻综合,http://27.41.245.32:801/hls/901/index.m3u8
潮州综合,http://27.41.245.32:801/hls/200/index.m3u8
揭阳综合,http://27.41.245.32:801/hls/301/index.m3u8
📺数字频道,#genre#
汕头经济生活,http://27.41.245.32:801/hls/903/index.m3u8
金鹰纪实高清,http://122.114.131.154:4018/hls/32/index.m3u8
金鹰卡通,http://119.39.198.199:808/hls/17/index.m3u8
金鹰纪实,http://119.39.198.199:808/hls/19/index.m3u8
金鹰卡通,http://119.39.198.183:808/hls/17/index.m3u8
金鹰纪实,http://119.39.198.183:808/hls/19/index.m3u8
📺海外频道,#genre#
CHC家庭电影,http://27.41.245.32:801/hls/905/index.m3u8
📺中央电视台,#genre#
风云足球,http://27.41.245.32:801/hls/906/index.m3u8
📺DOX系列,#genre#
石家庄新闻综合高清,http://122.114.131.154:4018/hls/18/index.m3u8
