📺央视频道,#genre#
CCTV1,http://182.117.193.226:9003/hls/1/index.m3u8
CCTV2,http://182.117.193.226:9003/hls/2/index.m3u8
CCTV3,http://182.117.193.226:9003/hls/3/index.m3u8
CCTV4,http://182.117.193.226:9003/hls/4/index.m3u8
CCTV5,http://182.117.193.226:9003/hls/5/index.m3u8
CCTV6,http://182.117.193.226:9003/hls/6/index.m3u8
CCTV7,http://182.117.193.226:9003/hls/7/index.m3u8
CCTV8,http://182.117.193.226:9003/hls/8/index.m3u8
CCTV9,http://182.117.193.226:9003/hls/9/index.m3u8
CCTV10,http://182.117.193.226:9003/hls/10/index.m3u8
CCTV11,http://182.117.193.226:9003/hls/11/index.m3u8
CCTV12,http://182.117.193.226:9003/hls/12/index.m3u8
CCTV13,http://182.117.193.226:9003/hls/13/index.m3u8
CCTV14,http://182.117.193.226:9003/hls/14/index.m3u8
CCTV15,http://182.117.193.226:9003/hls/15/index.m3u8
CCTV5+,http://182.117.193.226:9003/hls/16/index.m3u8
CCTV1,http://183.129.211.142:808/hls/1/index.m3u8
CCTV2,http://183.129.211.142:808/hls/2/index.m3u8
CCTV3,http://183.129.211.142:808/hls/3/index.m3u8
CCTV4,http://183.129.211.142:808/hls/4/index.m3u8
CCTV5,http://183.129.211.142:808/hls/5/index.m3u8
CCTV6,http://183.129.211.142:808/hls/6/index.m3u8
CCTV7,http://183.129.211.142:808/hls/7/index.m3u8
CCTV8,http://183.129.211.142:808/hls/8/index.m3u8
CCTV9,http://183.129.211.142:808/hls/9/index.m3u8
CCTV10,http://183.129.211.142:808/hls/10/index.m3u8
CCTV11,http://183.129.211.142:808/hls/11/index.m3u8
CCTV12,http://183.129.211.142:808/hls/12/index.m3u8
CCTV13,http://183.129.211.142:808/hls/13/index.m3u8
CCTV14,http://183.129.211.142:808/hls/14/index.m3u8
CCTV15,http://183.129.211.142:808/hls/15/index.m3u8
CCTV1,http://39.164.138.145:8899/hls/1/index.m3u8
CCTV2,http://39.164.138.145:8899/hls/2/index.m3u8
CCTV3,http://39.164.138.145:8899/hls/3/index.m3u8
CCTV4,http://39.164.138.145:8899/hls/4/index.m3u8
CCTV5,http://39.164.138.145:8899/hls/5/index.m3u8
CCTV6,http://39.164.138.145:8899/hls/6/index.m3u8
CCTV7,http://39.164.138.145:8899/hls/7/index.m3u8
CCTV8,http://39.164.138.145:8899/hls/8/index.m3u8
CCTV9,http://39.164.138.145:8899/hls/9/index.m3u8
CCTV10,http://39.164.138.145:8899/hls/10/index.m3u8
CCTV11,http://39.164.138.145:8899/hls/11/index.m3u8
CCTV12,http://39.164.138.145:8899/hls/12/index.m3u8
CCTV13,http://39.164.138.145:8899/hls/13/index.m3u8
CCTV14,http://39.164.138.145:8899/hls/14/index.m3u8
CCTV15,http://39.164.138.145:8899/hls/15/index.m3u8
CCTV17,http://39.164.138.145:8899/hls/17/index.m3u8
CCTV5+,http://39.164.138.145:8899/hls/18/index.m3u8
CCTV1,http://112.237.16.225:7001/hls/1/index.m3u8
CCTV2,http://112.237.16.225:7001/hls/2/index.m3u8
CCTV4,http://112.237.16.225:7001/hls/4/index.m3u8
CCTV5+,http://112.237.16.225:7001/hls/6/index.m3u8
CCTV7,http://112.237.16.225:7001/hls/8/index.m3u8
CCTV10,http://112.237.16.225:7001/hls/10/index.m3u8
CCTV11,http://112.237.16.225:7001/hls/11/index.m3u8
CCTV12,http://112.237.16.225:7001/hls/12/index.m3u8
CCTV13,http://112.237.16.225:7001/hls/13/index.m3u8
CCTV14,http://112.237.16.225:7001/hls/14/index.m3u8
CCTV15,http://112.237.16.225:7001/hls/15/index.m3u8
CCTV1,http://122.114.131.154:4007/hls/1/index.m3u8
CCTV2,http://122.114.131.154:4007/hls/2/index.m3u8
CCTV3,http://122.114.131.154:4007/hls/3/index.m3u8
CCTV4,http://122.114.131.154:4007/hls/4/index.m3u8
CCTV5,http://122.114.131.154:4007/hls/5/index.m3u8
CCTV6,http://122.114.131.154:4007/hls/6/index.m3u8
CCTV7,http://122.114.131.154:4007/hls/7/index.m3u8
CCTV8,http://122.114.131.154:4007/hls/8/index.m3u8
CCTV1,http://61.240.150.5:81/hls/1/index.m3u8
CCTV2,http://61.240.150.5:81/hls/2/index.m3u8
CCTV3,http://61.240.150.5:81/hls/3/index.m3u8
CCTV4,http://61.240.150.5:81/hls/4/index.m3u8
CCTV5,http://61.240.150.5:81/hls/5/index.m3u8
CCTV6,http://61.240.150.5:81/hls/6/index.m3u8
CCTV7,http://61.240.150.5:81/hls/7/index.m3u8
CCTV8,http://61.240.150.5:81/hls/8/index.m3u8
CCTV9,http://61.240.150.5:81/hls/9/index.m3u8
CCTV10,http://61.240.150.5:81/hls/10/index.m3u8
CCTV11,http://61.240.150.5:81/hls/11/index.m3u8
CCTV12,http://61.240.150.5:81/hls/12/index.m3u8
CCTV13,http://61.240.150.5:81/hls/13/index.m3u8
CCTV14,http://61.240.150.5:81/hls/14/index.m3u8
CCTV15,http://61.240.150.5:81/hls/15/index.m3u8
CCTV5+,http://61.240.150.5:81/hls/18/index.m3u8
CCTV1,http://122.114.131.154:4021/hls/1/index.m3u8
CCTV2,http://122.114.131.154:4021/hls/2/index.m3u8
CCTV3,http://122.114.131.154:4021/hls/3/index.m3u8
CCTV4,http://122.114.131.154:4021/hls/4/index.m3u8
CCTV5,http://122.114.131.154:4021/hls/5/index.m3u8
CCTV6,http://122.114.131.154:4021/hls/6/index.m3u8
CCTV7,http://122.114.131.154:4021/hls/7/index.m3u8
CCTV8,http://122.114.131.154:4021/hls/8/index.m3u8
CCTV9,http://122.114.131.154:4021/hls/9/index.m3u8
CCTV10,http://122.114.131.154:4021/hls/10/index.m3u8
CCTV11,http://122.114.131.154:4021/hls/11/index.m3u8
CCTV12,http://122.114.131.154:4021/hls/12/index.m3u8
CCTV13,http://122.114.131.154:4021/hls/13/index.m3u8
CCTV14,http://122.114.131.154:4021/hls/14/index.m3u8
CCTV15,http://122.114.131.154:4021/hls/15/index.m3u8
CCTV17,http://122.114.131.154:4021/hls/17/index.m3u8
CCTV第一剧场,http://122.114.131.154:4021/hls/64/index.m3u8
CCTV1,http://119.39.198.183:808/hls/1/index.m3u8
CCTV2,http://119.39.198.183:808/hls/2/index.m3u8
CCTV3,http://119.39.198.183:808/hls/3/index.m3u8
CCTV4,http://119.39.198.183:808/hls/4/index.m3u8
CCTV5,http://119.39.198.183:808/hls/5/index.m3u8
CCTV6,http://119.39.198.183:808/hls/6/index.m3u8
CCTV7,http://119.39.198.183:808/hls/7/index.m3u8
CCTV8,http://119.39.198.183:808/hls/8/index.m3u8
CCTV9,http://119.39.198.183:808/hls/9/index.m3u8
CCTV10,http://119.39.198.183:808/hls/10/index.m3u8
CCTV11,http://119.39.198.183:808/hls/11/index.m3u8
CCTV12,http://119.39.198.183:808/hls/12/index.m3u8
CCTV13,http://119.39.198.183:808/hls/13/index.m3u8
CCTV14,http://119.39.198.183:808/hls/14/index.m3u8
CCTV15,http://119.39.198.183:808/hls/15/index.m3u8
CCTV1,http://119.39.198.199:808/hls/1/index.m3u8
CCTV2,http://119.39.198.199:808/hls/2/index.m3u8
CCTV3,http://119.39.198.199:808/hls/3/index.m3u8
CCTV4,http://119.39.198.199:808/hls/4/index.m3u8
CCTV5,http://119.39.198.199:808/hls/5/index.m3u8
CCTV6,http://119.39.198.199:808/hls/6/index.m3u8
CCTV7,http://119.39.198.199:808/hls/7/index.m3u8
CCTV8,http://119.39.198.199:808/hls/8/index.m3u8
CCTV9,http://119.39.198.199:808/hls/9/index.m3u8
CCTV10,http://119.39.198.199:808/hls/10/index.m3u8
CCTV11,http://119.39.198.199:808/hls/11/index.m3u8
CCTV12,http://119.39.198.199:808/hls/12/index.m3u8
CCTV13,http://119.39.198.199:808/hls/13/index.m3u8
CCTV14,http://119.39.198.199:808/hls/14/index.m3u8
CCTV15,http://119.39.198.199:808/hls/15/index.m3u8
CCTV1,http://122.114.131.154:4018/hls/1/index.m3u8
CCTV2,http://122.114.131.154:4018/hls/2/index.m3u8
CCTV3,http://122.114.131.154:4018/hls/3/index.m3u8
CCTV4,http://122.114.131.154:4018/hls/4/index.m3u8
CCTV5,http://122.114.131.154:4018/hls/5/index.m3u8
CCTV6,http://122.114.131.154:4018/hls/6/index.m3u8
CCTV7,http://122.114.131.154:4018/hls/7/index.m3u8
CCTV8,http://122.114.131.154:4018/hls/8/index.m3u8
CCTV9,http://122.114.131.154:4018/hls/9/index.m3u8
CCTV10,http://122.114.131.154:4018/hls/10/index.m3u8
CCTV11,http://122.114.131.154:4018/hls/11/index.m3u8
CCTV12,http://122.114.131.154:4018/hls/12/index.m3u8
CCTV13,http://122.114.131.154:4018/hls/13/index.m3u8
CCTV14,http://122.114.131.154:4018/hls/14/index.m3u8
CCTV15,http://122.114.131.154:4018/hls/15/index.m3u8
CCTV5+,http://122.114.131.154:4018/hls/16/index.m3u8
CCTV1,http://113.88.209.178:9898/hls/1/index.m3u8
CCTV2,http://113.88.209.178:9898/hls/2/index.m3u8
CCTV3,http://113.88.209.178:9898/hls/3/index.m3u8
CCTV4,http://113.88.209.178:9898/hls/4/index.m3u8
CCTV6,http://113.88.209.178:9898/hls/6/index.m3u8
CCTV7,http://113.88.209.178:9898/hls/7/index.m3u8
CCTV8,http://113.88.209.178:9898/hls/8/index.m3u8
CCTV9,http://113.88.209.178:9898/hls/9/index.m3u8
CCTV10,http://113.88.209.178:9898/hls/10/index.m3u8
CCTV11,http://113.88.209.178:9898/hls/11/index.m3u8
CCTV12,http://113.88.209.178:9898/hls/12/index.m3u8
CCTV13,http://113.88.209.178:9898/hls/13/index.m3u8
CCTV15,http://113.88.209.178:9898/hls/15/index.m3u8
CCTV5+,http://113.88.209.178:9898/hls/16/index.m3u8
📺卫视频道,#genre#
河南卫视,http://182.117.193.226:9003/hls/17/index.m3u8
浙江卫视,http://182.117.193.226:9003/hls/18/index.m3u8
东方卫视,http://182.117.193.226:9003/hls/19/index.m3u8
天津卫视,http://182.117.193.226:9003/hls/20/index.m3u8
安徽卫视,http://182.117.193.226:9003/hls/21/index.m3u8
山东卫视,http://182.117.193.226:9003/hls/22/index.m3u8
湖北卫视,http://182.117.193.226:9003/hls/23/index.m3u8
深圳卫视,http://182.117.193.226:9003/hls/24/index.m3u8
黑龙江卫视,http://182.117.193.226:9003/hls/25/index.m3u8
北京卫视,http://182.117.193.226:9003/hls/26/index.m3u8
湖南卫视,http://182.117.193.226:9003/hls/27/index.m3u8
江苏卫视,http://182.117.193.226:9003/hls/28/index.m3u8
辽宁卫视,http://182.117.193.226:9003/hls/29/index.m3u8
江西卫视,http://182.117.193.226:9003/hls/30/index.m3u8
四川卫视,http://182.117.193.226:9003/hls/31/index.m3u8
云南卫视,http://182.117.193.226:9003/hls/32/index.m3u8
浙江卫视,http://183.129.211.142:808/hls/18/index.m3u8
安徽卫视,http://183.129.211.142:808/hls/24/index.m3u8
江苏卫视,http://183.129.211.142:808/hls/25/index.m3u8
北京卫视,http://183.129.211.142:808/hls/26/index.m3u8
陕西卫视,http://183.129.211.142:808/hls/27/index.m3u8
深圳卫视,http://183.129.211.142:808/hls/28/index.m3u8
重庆卫视,http://183.129.211.142:808/hls/29/index.m3u8
东方卫视,http://183.129.211.142:808/hls/30/index.m3u8
湖南卫视,http://183.129.211.142:808/hls/31/index.m3u8
贵州卫视,http://183.129.211.142:808/hls/32/index.m3u8
四川卫视,http://183.129.211.142:808/hls/33/index.m3u8
广东卫视,http://183.129.211.142:808/hls/34/index.m3u8
河南卫视,http://39.164.138.145:8899/hls/19/index.m3u8
浙江卫视,http://39.164.138.145:8899/hls/33/index.m3u8
东方卫视,http://39.164.138.145:8899/hls/34/index.m3u8
江苏卫视,http://39.164.138.145:8899/hls/35/index.m3u8
北京卫视,http://39.164.138.145:8899/hls/36/index.m3u8
广东卫视,http://39.164.138.145:8899/hls/37/index.m3u8
黑龙江卫视,http://39.164.138.145:8899/hls/38/index.m3u8
山东卫视,http://39.164.138.145:8899/hls/39/index.m3u8
安徽卫视,http://39.164.138.145:8899/hls/40/index.m3u8
辽宁卫视,http://39.164.138.145:8899/hls/41/index.m3u8
陕西卫视,http://39.164.138.145:8899/hls/42/index.m3u8
贵州卫视,http://39.164.138.145:8899/hls/43/index.m3u8
河北卫视,http://39.164.138.145:8899/hls/44/index.m3u8
江西卫视,http://39.164.138.145:8899/hls/45/index.m3u8
湖南卫视,http://39.164.138.145:8899/hls/46/index.m3u8
深圳卫视,http://39.164.138.145:8899/hls/47/index.m3u8
四川卫视,http://39.164.138.145:8899/hls/48/index.m3u8
湖北卫视,http://39.164.138.145:8899/hls/49/index.m3u8
天津卫视,http://39.164.138.145:8899/hls/50/index.m3u8
云南卫视,http://39.164.138.145:8899/hls/51/index.m3u8
重庆卫视,http://39.164.138.145:8899/hls/52/index.m3u8
吉林卫视,http://39.164.138.145:8899/hls/53/index.m3u8
宁夏卫视,http://39.164.138.145:8899/hls/54/index.m3u8
东南卫视,http://39.164.138.145:8899/hls/55/index.m3u8
内蒙古卫视,http://39.164.138.145:8899/hls/56/index.m3u8
广西卫视,http://39.164.138.145:8899/hls/57/index.m3u8
山西卫视,http://39.164.138.145:8899/hls/58/index.m3u8
海南卫视,http://39.164.138.145:8899/hls/59/index.m3u8
甘肃卫视,http://39.164.138.145:8899/hls/60/index.m3u8
青海卫视,http://39.164.138.145:8899/hls/61/index.m3u8
西藏卫视,http://39.164.138.145:8899/hls/65/index.m3u8
山东卫视,http://112.237.16.225:7001/hls/16/index.m3u8
湖南卫视,http://112.237.16.225:7001/hls/17/index.m3u8
江苏卫视,http://112.237.16.225:7001/hls/18/index.m3u8
浙江卫视,http://112.237.16.225:7001/hls/19/index.m3u8
北京卫视,http://112.237.16.225:7001/hls/20/index.m3u8
天津卫视,http://112.237.16.225:7001/hls/21/index.m3u8
广东卫视,http://112.237.16.225:7001/hls/22/index.m3u8
