📺央视频道,#genre#
CCTV第一剧场,http://42.48.106.138:808/hls/117/index.m3u8
CCTV兵器科技,http://42.48.106.138:808/hls/118/index.m3u8
CCTV4,http://42.48.106.138:808/hls/125/index.m3u8
📺卫视频道,#genre#
浙江卫视,http://113.200.114.168:20000/hls/17/index.m3u8
湖南卫视,http://113.200.114.168:20000/hls/18/index.m3u8
江苏卫视,http://113.200.114.168:20000/hls/19/index.m3u8
北京卫视,http://113.200.114.168:20000/hls/20/index.m3u8
广东卫视,http://113.200.114.168:20000/hls/21/index.m3u8
深圳卫视,http://113.200.114.168:20000/hls/22/index.m3u8
湖北卫视,http://113.200.114.168:20000/hls/23/index.m3u8
山东卫视,http://113.200.114.168:20000/hls/24/index.m3u8
四川卫视,http://113.200.114.168:20000/hls/25/index.m3u8
安徽卫视,http://113.200.114.168:20000/hls/26/index.m3u8
重庆卫视,http://113.200.114.168:20000/hls/27/index.m3u8
东方卫视,http://113.200.114.168:20000/hls/28/index.m3u8
河南卫视,http://113.200.114.168:20000/hls/29/index.m3u8
江西卫视,http://113.200.114.168:20000/hls/30/index.m3u8
吉林卫视,http://113.200.114.168:20000/hls/31/index.m3u8
山西卫视,http://113.200.114.168:20000/hls/32/index.m3u8
贵州卫视,http://113.200.114.168:20000/hls/33/index.m3u8
甘肃卫视,http://113.200.114.168:20000/hls/34/index.m3u8
宁夏卫视,http://113.200.114.168:20000/hls/35/index.m3u8
海南卫视,http://113.200.114.168:20000/hls/36/index.m3u8
广西卫视,http://113.200.114.168:20000/hls/37/index.m3u8
辽宁卫视,http://113.200.114.168:20000/hls/38/index.m3u8
青海卫视,http://113.200.114.168:20000/hls/39/index.m3u8
西藏卫视,http://113.200.114.168:20000/hls/40/index.m3u8
内蒙古卫视,http://113.200.114.168:20000/hls/41/index.m3u8
新疆卫视,http://113.200.114.168:20000/hls/42/index.m3u8
河北卫视,http://113.200.114.168:20000/hls/43/index.m3u8
云南卫视,http://113.200.114.168:20000/hls/44/index.m3u8
陕西卫视,http://113.200.114.168:20000/hls/45/index.m3u8
河南卫视,http://123.14.232.226:8888/hls/19/index.m3u8
湖南卫视,http://123.14.232.226:8888/hls/20/index.m3u8
江苏卫视,http://123.14.232.226:8888/hls/21/index.m3u8
浙江卫视,http://123.14.232.226:8888/hls/22/index.m3u8
北京卫视,http://123.14.232.226:8888/hls/23/index.m3u8
东方卫视,http://123.14.232.226:8888/hls/24/index.m3u8
天津卫视,http://123.14.232.226:8888/hls/25/index.m3u8
山东卫视,http://123.14.232.226:8888/hls/26/index.m3u8
安徽卫视,http://123.14.232.226:8888/hls/27/index.m3u8
深圳卫视,http://123.14.232.226:8888/hls/28/index.m3u8
江西卫视,http://123.14.232.226:8888/hls/29/index.m3u8
湖北卫视,http://123.14.232.226:8888/hls/30/index.m3u8
四川卫视,http://123.14.232.226:8888/hls/31/index.m3u8
黑龙江卫视,http://123.14.232.226:8888/hls/32/index.m3u8
云南卫视,http://123.14.232.226:8888/hls/33/index.m3u8
贵州卫视,http://123.14.232.226:8888/hls/34/index.m3u8
辽宁卫视,http://123.14.232.226:8888/hls/35/index.m3u8
